# 日時(JST)	順位	タグ	名前	レーティング -- ranking-liveスキルが追記する。手で消してもよい
2026-09-22 19:10	1	9YUC9LQ0L	Miku	2887
2026-09-22 19:10	2	UUC002QYL	Frontier✨白影	2882
2026-09-22 19:10	3	2PUQ80CR2	MW Leksa	2874
2026-09-22 19:10	4	L8999VJC	Hypno ❤️ Hans	2864
2026-09-22 19:10	5	208R8PQJP9	AK Tanjiro	2856
2026-09-22 19:10	6	U28CUJYUG	Mohamed❤️Swaggy	2855
2026-09-22 19:10	7	VC0JRC2JU	TKK.jackbest2.6	2839
2026-09-22 19:10	8	220JL80LUC	Night graveyard	2834
2026-09-22 19:10	9	VR8YGR8YL	91至寒❤️和韧✨瓜呱	2833
2026-09-22 19:10	10	YGGYQYV	Juicy	2817
